№,No.,Time,Source,Destination,Protocol,Dest_port,Sour_port
1,1,0.0,192.168.1.2,185.199.110.154,TCP,443,65463
2,2,0.014216999999999999,192.168.1.2,151.101.244.133,TCP,443,65470
3,3,0.046057,192.168.1.2,185.199.110.154,TCP,443,65468
4,4,0.051505999999999996,185.199.110.154,192.168.1.2,TCP,65463,443
5,5,0.064958,151.101.244.133,192.168.1.2,TCP,65470,443
6,6,0.096736,185.199.110.154,192.168.1.2,TCP,65468,443
7,7,2.773108,192.168.1.2,213.180.193.60,TCP,443,64140
8,8,2.803408,213.180.193.60,192.168.1.2,TCP,64140,443
9,9,3.501008,192.168.1.2,51.158.86.207,TCP,2233,64178
10,10,3.582647,51.158.86.207,192.168.1.2,TCP,64178,2233
11,11,3.5852510000000004,51.158.86.207,192.168.1.2,TCP,64178,2233
12,12,3.608562,51.158.86.207,192.168.1.2,TCP,64178,2233
13,13,3.6086169999999997,192.168.1.2,51.158.86.207,TCP,2233,64178
14,14,5.595524,192.168.1.2,151.101.244.133,TCP,443,65475
15,15,5.645364,151.101.244.133,192.168.1.2,TCP,65475,443
16,16,13.595126,192.168.1.2,51.158.86.207,TCP,2233,64178
17,17,13.758907,51.158.86.207,192.168.1.2,TCP,64178,2233
18,19,15.847014000000001,51.158.86.207,192.168.1.2,TCP,64011,2233
19,20,15.847083999999999,192.168.1.2,51.158.86.207,TCP,2233,64011
20,22,17.650524,51.158.86.207,192.168.1.2,TCP,64178,2233
21,23,17.652649,192.168.1.2,51.158.86.207,TCP,2233,64178
22,24,17.699023999999998,51.158.86.207,192.168.1.2,TCP,64178,2233
23,25,17.733363,51.158.86.207,192.168.1.2,TCP,64178,2233
24,26,17.749746,192.168.1.2,51.158.86.207,TCP,2233,64178
25,27,18.571773,51.158.86.207,192.168.1.2,TCP,64178,2233
26,28,18.622098,192.168.1.2,51.158.86.207,TCP,2233,64178
27,29,19.391061999999998,51.158.86.207,192.168.1.2,TCP,64178,2233
28,30,19.441073,192.168.1.2,51.158.86.207,TCP,2233,64178
